id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,equity,capital_employed,NPM,OPM,ROE,ROCE,OPM_Difference
61,ABB,Dec 2012,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,136,21.0,626,0,260,907,109,1,0,798,907,647.0,647,8.771929824561402,12.220205686630369,22.411128284389488,31.221020092735703,0.22020568663036855
62,ABB,Mar 2014,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,137,21.0,767,0,351,1139,98,1,0,1040,1139,788.0,788,8.699472759226714,11.731107205623902,25.12690355329949,33.88324873096447,-0.26889279437609837
63,ABB,Mar 2015,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,138,21.0,916,0,436,1374,96,4,0,1274,1374,937.0,938,10.004368719965049,13.630406290956751,24.439701173959445,33.26226012793177,-0.36959370904324906
64,ABB,Mar 2016,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,139,21.0,1174,0,421,1616,108,3,0,1505,1616,1195.0,1195,9.755164498852334,13.963274674827849,21.338912133891213,30.543933054393307,-0.0367253251721511
65,ABB,Mar 2017,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,140,21.0,1366,0,679,2066,110,6,0,1950,2066,1387.0,1387,9.541853255253187,13.709955218739237,19.971160778658977,28.69502523431867,-0.2900447812607627
66,ABB,Mar 2018,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,141,21.0,1672,0,723,2416,81,2,0,2333,2416,1693.0,1693,12.15888417222559,15.918738629472406,23.685764914353218,31.010041346721795,-0.08126137052759397
67,ABB,Mar 2019,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,142,21.0,1987,0,932,2941,105,1,0,2835,2941,2008.0,2009,12.231584669747214,16.444686055993476,22.410358565737052,30.11448481831757,0.44468605599347555
68,ABB,Mar 2020,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,143,21.0,2410,175,940,3547,270,2,0,3275,3547,2431.0,2607,14.488150500855118,18.49499144881505,24.39325380501851,29.037207518220175,0.49499144881504975
69,ABB,Mar 2021,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,144,21.0,2581,153,1086,3840,251,1,0,3589,3840,2602.0,2754,16.03248259860789,21.392111368909514,26.5564950038432,33.47857661583152,0.39211136890951437
70,ABB,Mar 2022,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,145,21.0,2799,152,1253,4224,271,1,0,3952,4224,2820.0,2971,16.26297577854671,22.023203745165887,28.333333333333332,36.418714237630425,0.023203745165886858
71,ABB,Mar 2023,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,146,21.0,3167,113,1254,4556,237,4,0,4315,4556,3188.0,3302,17.74163395027108,22.546270330902974,29.767879548306148,36.52331920048456,-0.45372966909702583
72,ABB,Mar 2024,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,147,21.0,3678,83,1411,5193,225,10,0,4958,5193,3699.0,3782,20.533424517011454,24.84185330825782,32.46823465801568,38.41882601797991,-0.15814669174217855
86,ADANIENSOL,Mar 2014,0,0,0.0,,0,0,0,0,0.0,0,0.0,,149,0.1,0,0,0,0,0,0,0,0,0,0.1,0,,,0.0,,
